Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
SRR8668755	0.2783309988674214	3.7588491356441223
SRR8668755_1M_subsample	0.27430000000000004	3.7526
SRR8668756	0.4017288273599731	1.94510892051505
SRR8668757	0.25976299755739024	2.088048238884765
SRR8668758	0.5992358689178707	1.8593721502445213
SRR8668759	4.0531184292729145	7.506158192960595
SRR8668769	0.40733555397274607	4.385287869909638
SRR8668771	0.2649319903706185	1.8409974452848081
SRR8668772	0.45236788680817486	3.555424379728538
SRR8668773	0.3692562815301139	3.2421363420581586
SRR8668774	0.5283963690448943	2.3179120534245623
