Sample	kallisto-percent_aligned	kallisto-pseudoaligned_reads	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR8668755	53.41962436886376	48.035649	65.89399718245215	50.0	74.47977032774406	75	30.0	89.921353
SRR8668755_1M_subsample			34.98187394271703	50.0	74.479287	75	20.0	1.0
SRR8668756	69.8556901789105	59.01678	59.05638296198224	48.0	74.27136176491946	75	20.0	84.48385499999999
SRR8668757	49.53888995180841	47.116516999999995	56.27171289620192	47.0	74.47828267220119	75	20.0	95.110159
SRR8668758	63.00258683406462	19.002575	48.73720826058155	49.0	72.73567113313266	75	10.0	30.161579
SRR8668759	49.15534048786938	2.616933	50.82794296566836	57.0	72.67510869111962	75	40.0	5.323802
SRR8668769	68.54808895838426	64.607624	71.71708122692716	53.0	74.49919337120164	75	30.0	94.251532
SRR8668771	52.80912132196055	34.028369	63.81019030990686	52.0	74.51151436024564	75	30.0	64.436537
SRR8668772	55.117199780240234	37.578855	62.37434087264336	50.0	74.46793996753237	75	30.0	68.179906
SRR8668773	66.29023930123701	46.389990999999995	62.23118774864832	50.0	74.46369312611812	75	30.0	69.98012299999999
SRR8668774	59.75096218223157	79.700574	59.44554091232145	49.0	73.84977352599223	75	30.0	133.387934
