Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned
SRR8668755	89921353.0	48035649.0	41885704.0	53.41962436886376
SRR8668756	84483855.0	59016780.0	25467075.0	69.8556901789105
SRR8668757	95110159.0	47116517.0	47993642.0	49.53888995180841
SRR8668758	30161579.0	19002575.0	11159004.0	63.00258683406462
SRR8668759	5323802.0	2616933.0	2706869.0	49.15534048786938
SRR8668769	94251532.0	64607624.0	29643908.0	68.54808895838426
SRR8668771	64436537.0	34028369.0	30408168.0	52.80912132196055
SRR8668772	68179906.0	37578855.0	30601051.0	55.117199780240234
SRR8668773	69980123.0	46389991.0	23590132.0	66.29023930123701
SRR8668774	133387934.0	79700574.0	53687360.0	59.75096218223157
